HSTR_MNNMB,ETC_PCMTT,임도명,시설거리(km),개설연도,FRRD_FCLTW,FRRD_DV_I,FRRD_DV_B,FRRD_INSTT,FRRD_MGC,FRRD_RGSNO,RBP_X,RBP_Y,REP_X,REP_Y,MAP_LABEL,FR_TH_DV,FR_TH_YR,FRRD_THM,Shape_Leng,지역,위도,경도,상세주소,읍면동
0.0,,23산수2,1.4,2023,4.5,1,3,61,1400438,북부_춘천_2023_03,1013967.5987,1969748.831,1014258.66171,1969296.76487,23춘천_03,,,,1333.83554249,강원특별자치도,37.72723634703114,127.65850377889431,"산수리, 춘천시, 강원특별자치도, 24467, 대한민국",산수리
0.0,,18유현,1.5,2018,4.0,1,1,61,1400441,북부-홍천-2018-05,1031394.6211,1949499.0508,1031473.3995,1948606.6532,18홍천_05,,,,1516.91272424,강원특별자치도,37.54428754544032,127.85539206708572,"유현리, 서원면, 횡성군, 강원특별자치도, 25200, 대한민국",서원면
0.0,,17유현,0.5,2017,4.0,1,1,61,1400441,북부-홍천-2017-09,1031234.6546,1949752.6663,1031394.6211,1949499.0508,17홍천_09,,,,526.458861752,강원특별자치도,37.546578925839995,127.8535920496841,"유현리, 서원면, 횡성군, 강원특별자치도, 25200, 대한민국",서원면
0.0,,89유현,1.54,1989,4.0,1,1,61,1400441,북부_홍천_1989_05,1033416.2771,1949612.6236,1032571.6805,1950051.2171,89홍천_05,,,,1143.50684553,강원특별자치도,37.54524012847737,127.87828226166958,"서원면, 횡성군, 강원특별자치도, 25200, 대한민국",서원면
0.0,,88유현,2.68,1988,4.0,1,1,61,1400441,북부_홍천_1988_02,1033136.0485,1947789.674,1034277.0111,1948366.1675,88홍천_02,,,,2109.72186564,강원특별자치도,37.528819244366694,127.87502775557884,"유현리, 서원면, 횡성군, 강원특별자치도, 25200, 대한민국",서원면
0.0,,96유현,11.92,1996,4.0,1,1,61,1400441,북부_홍천_1996_04,1032253.6078,1947686.6523,1035955.4936,1949897.0912,96홍천_04,,,,11417.5573601,강원특별자치도,37.527921956441766,127.86503611568108,"유현리, 서원면, 횡성군, 강원특별자치도, 25200, 대한민국",서원면
0.0,,92덕밭재,9.94,1992,4.0,1,1,61,1400441,북부_홍천_1992_01,1033734.2835,1979838.0844,1032967.9122,1982965.6281,92홍천_01,,,,10777.3469154,강원특별자치도,37.81765628464766,127.88328124144994,"덕밭재길, 풍천리, 화촌면, 홍천군, 강원특별자치도, 25156, 대한민국",화촌면
0.0,덕밭재,13풍천(Ⅰ),3.43,2013,3.0,1,2,61,1400441,북부_홍천_2013_05,1032117.5584,1979952.8986,1033734.2835,1979838.0844,13홍천_05,,,,3315.7661164,강원특별자치도,37.81874944103371,127.86491782461525,"풍천리, 화촌면, 홍천군, 강원특별자치도, 25156, 대한민국",화촌면
0.0,,15초원,3.0,2015,4.0,1,1,61,1400441,북부_홍천_2015_05,1035865.5453,1950989.6642,1034299.2092,1950869.7453,15홍천_05,,,,2980.47961071,강원특별자치도,37.55755981634553,127.90607542988948,"상창봉리, 공근면, 횡성군, 강원특별자치도, 25203, 대한민국",공근면
0.0,,16초원,3.0,2016,4.0,1,1,61,1400441,북부-홍천-2016-04,1037363.3323,1950212.6537,1035865.5453,1950989.6642,16홍천_04,,,,2984.70319823,강원특별자치도,37.55049681709316,127.92299361222867,"초원리, 공근면, 횡성군, 강원특별자치도, 25209, 대한민국",공근면
