지역,임도명,시설거리(km),개설연도,위도,경도,상세주소,읍면동
강원특별자치도,운학,2.64,2022,37.386679803820456,128.2002448273307,"운학리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,삿갓봉,1.1,1975,37.372425077014576,128.18998151661012,"무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,삿갓봉,0.96,1975,37.36161103828657,128.2032732729084,"손이골길, 운학리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,두산,7.5,2010,37.29168100810764,128.1322164820739,"두산리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,두산,2.0,2014,37.296799487196864,128.15874454014147,"두산리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,두산,3.5,2016,37.29484959865984,128.1474425405805,"두산리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,솟때봉,14.12,1994,37.42652319392643,128.25659639209368,"문재터널, 방림면, 평창군, 강원특별자치도, 25366, 대한민국",방림면
강원특별자치도,두산,2.08,2023,37.30086412708352,128.12605198836343,"두산리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,의풍,2.1,2017,37.07466702832629,128.61740481263178,"의풍리, 단양군, 충청북도, 27019, 대한민국",의풍리
강원특별자치도,검성조림지_운반로_구조개선,1.36,2024,37.145136913682784,129.34037248209074,"월천리, 삼척시, 강원특별자치도, 25960, 대한민국",월천리
